,avenal-veterans-hall,s0,s1,s2,s3,s4,s5
2018-12-26 16:00:12-08:00,354.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:01:12-08:00,330.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:02:12-08:00,348.57142857142856,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:03:12-08:00,385.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:04:12-08:00,400.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:05:12-08:00,415.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:06:12-08:00,373.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:07:12-08:00,342.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:08:12-08:00,337.14285714285717,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:09:12-08:00,342.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:10:12-08:00,422.85714285714283,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:11:12-08:00,570.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:12:12-08:00,560.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:13:12-08:00,560.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:14:12-08:00,546.6666666666666,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:15:12-08:00,550.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:16:12-08:00,542.8571428571429,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:17:12-08:00,573.3333333333334,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:18:12-08:00,615.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:19:12-08:00,737.1428571428571,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:20:12-08:00,720.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:21:12-08:00,697.1428571428571,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:22:12-08:00,680.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:23:12-08:00,705.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:24:12-08:00,720.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:25:12-08:00,697.1428571428571,0.0,0.0,0.0,0.0,1.0,0.0
2018-12-26 16:26:12-08:00,594.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26 16:27:12-08:00,535.0,0.0,0.0,0.0,0.0,0.0,0.0
